routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:14:21-04:00,0,0%
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:14:39-04:00,0,0%
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:15:04-04:00,0,0%
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:15:20-04:00,0,0%
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:15:45-04:00,0,0%
CBD,2712,Stanger/Perry Nbnd,1105,N,2020-09-21T07:16:06-04:00,0,0%
CBD,2712,Prices Fork/Old Glade Wbnd,1200,N,2020-09-21T07:16:26-04:00,0,0%
CBD,2712,Vet School Wbnd,1201,N,2020-09-21T07:16:47-04:00,0,0%
CBD,2712,Vet School Wbnd,1201,N,2020-09-21T07:17:07-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:17:19-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:17:41-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:17:51-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:18:19-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:18:49-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:18:54-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:19:19-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:19:49-04:00,0,0%
CBD,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:20:05-04:00,0,0%
CBD,2712,Carpenter Blvd/Redd Circle,1221,Y,2020-09-21T07:20:25-04:00,1,1%
CBD,2712,Carpenter Blvd/Redd Circle,1221,Y,2020-09-21T07:20:49-04:00,1,1%
CBD,2712,Carpenter Blvd/Redd Circle,1221,Y,2020-09-21T07:21:09-04:00,1,1%
CBD,2712,Prices Fork/Huntington Ebnd,1215,N,2020-09-21T07:21:30-04:00,1,1%
CBD,2712,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:21:42-04:00,1,1%
CBD,2712,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:22:13-04:00,1,1%
CBD,2712,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:22:26-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:22:51-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:23:06-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:23:20-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:23:46-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:24:09-04:00,1,1%
CBD,2712,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:24:24-04:00,1,1%
CBD,2712,McBryde Hall,1106,N,2020-09-21T07:24:49-04:00,1,1%
CBD,2712,McBryde Hall,1106,N,2020-09-21T07:25:06-04:00,1,1%
CBD,2712,McBryde Hall,1106,N,2020-09-21T07:25:26-04:00,1,1%
CBD,2712,McBryde Hall,1106,N,2020-09-21T07:25:42-04:00,1,1%
CBD,2712,Burruss Hall,1101,N,2020-09-21T07:26:08-04:00,1,1%
CBD,2712,Burruss Hall,1101,N,2020-09-21T07:26:32-04:00,1,1%
CBD,2712,Burruss Hall,1101,N,2020-09-21T07:26:47-04:00,1,1%
CBD,2712,Hutcheson Hall,1107,N,2020-09-21T07:27:08-04:00,1,1%
CBD,2712,War Memorial Hall,1108,N,2020-09-21T07:27:35-04:00,1,1%
CBD,2712,War Memorial Hall,1108,N,2020-09-21T07:27:35-04:00,1,1%
CBD,2712,War Memorial Hall,1108,N,2020-09-21T07:28:16-04:00,1,1%
CBD,2712,War Memorial Hall,1108,N,2020-09-21T07:28:21-04:00,1,1%
CBD,2712,War Memorial Hall,1108,N,2020-09-21T07:28:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:29:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:29:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:29:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:30:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:30:23-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:30:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:31:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:31:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:31:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:32:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:32:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:32:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:33:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:33:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:33:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:34:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:34:16-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:34:46-04:00,1,1%
CBD,2712,Newman Library,1100,Y,2020-09-21T07:35:16-04:00,1,1%
